Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Gyro X,Gyro Y,Gyro Z,Pressure,Temperature,Altitude,GPS Lat,GPS Long,Time
-9.41,3.33,0.47,-16.55,-48.82,68.57,-0.09,-0.14,-0.38,1006.96,35.6,52.5,null,null,0:0:0
-9.96,1.18,2.63,-14,-50.73,68.78,-0.14,0.06,-0.62,1006.98,35.6,52.34,null,null,0:0:0
-9.45,1.8,0.75,-16.09,-49.82,66.43,0.05,-0.13,-0.02,1006.92,35.6,52.84,null,null,0:0:0
-9.1,2.39,0.35,-18.45,-48.91,66.12,-0.31,-0.11,0.14,1006.89,35.6,53.09,null,null,0:0:0
-9.34,3.1,-0.24,-19.55,-48.18,66.22,-0.03,-0.23,-0.14,1006.94,35.6,52.67,null,null,0:0:0
-9.92,2.55,1.37,-18.73,-48.55,66.63,-0.25,-0.12,-0.28,1006.86,35.6,53.34,null,null,0:0:0
-9.65,1.92,0.67,-15.36,-50.18,63.78,0.06,0.01,0.09,1006.94,35.6,52.67,null,null,0:0:0
-9.89,2.59,1.1,-15.45,-49.91,63.37,-0.26,-0.28,-0.14,1006.92,35.6,52.84,null,null,0:0:0
-9.22,1.61,0.9,-15.45,-50.09,63.37,0.23,0.03,0.32,1006.88,35.6,53.17,null,null,0:0:0
-9.02,1.45,1.37,-15,-50.27,63.47,-0.17,-0.25,-0.08,1006.94,35.6,52.67,null,null,0:0:0
-6.08,-0.75,5.81,-19.27,-45.73,52.55,-0.06,-0.09,-0.17,1006.91,35.6,52.92,null,null,0:0:0
-5.77,-2.63,7.69,-11.45,-52.73,55,0.57,-0.31,-0.51,1006.86,35.6,53.34,null,null,0:0:0
-4.75,-2.94,5.14,-10,-53.45,51.33,0.12,0.81,1.46,1006.9,35.6,53,null,null,0:0:0
-4.51,-1.84,8.24,-24.18,-44.27,54.29,0.66,0.37,0.71,1006.92,35.6,52.84,null,null,0:0:0
-3.92,-2.86,7.3,-23.36,-39.55,54.08,0.19,-0.51,0.73,1006.89,35.6,53.09,null,null,0:0:0
-2.31,-6.86,7.65,-22.82,-33.09,47.76,-0.28,0.02,-0.04,1006.97,35.6,52.42,null,null,0:0:0
-6.94,-4.82,3.88,-7.55,-28.73,30.31,0.23,0.38,0.8,1007.02,35.7,52,null,null,0:0:0
-8.24,-4.28,2.47,-7.55,-28.36,30.31,-0.11,-0.08,0.02,1006.93,35.7,52.75,null,null,0:0:0
-8.47,-4.35,2.71,0,0,0,0.01,-0.27,0.04,1006.96,35.7,52.5,null,null,0:0:0
-8.2,-4.12,2.47,-7.55,-28.45,30.1,0.03,-0.06,-0.03,1007.03,35.7,51.92,null,null,0:0:0
-8.2,-4.12,2.59,-7.82,-27.82,30.31,0.02,-0.01,0.04,1006.93,35.7,52.75,null,null,0:0:0
-9.45,-2.24,0.2,-3,-29.27,28.16,-0.83,-0.34,0.33,1007.01,35.7,52.08,null,null,0:0:0
-9.06,-2.94,-0.04,0,0,0,0.11,0.03,-0.11,1007.05,35.7,51.75,null,null,0:0:0
-9.65,-3.22,-1.65,2,-30.73,28.27,-0.59,-0.51,0.28,1007,35.7,52.17,null,null,0:0:0
-9.26,-3.8,-0.75,-4.82,-20.73,25.92,1.17,0.11,-0.05,1006.99,35.7,52.25,null,null,0:0:0
-9.18,-0.2,0.71,-4.91,-27.36,27.65,1.48,-0.2,0.02,1007.03,35.7,51.92,null,null,0:0:0
-9.77,-0.24,1.26,-4.73,-24.82,27.35,1.01,0.21,-0.07,1007.03,35.7,51.92,null,null,0:0:0
-9.85,-1.77,2.71,-4.45,-21.91,26.12,2.06,0.37,-0.13,1007.02,35.7,52,null,null,0:0:0
-8.98,-4.75,-0.12,-5.91,-13.91,25.92,0.46,0.29,-0.27,1007.03,35.7,51.92,null,null,0:0:0
-9.49,-0.86,-4.47,-2.55,-21.18,25.41,0.94,0.4,-0.3,1006.95,35.7,52.59,null,null,0:0:0
-9.61,-1.61,0.2,-1.64,-28.55,27.35,-0.18,-0.29,0.19,1006.97,35.7,52.42,null,null,0:0:0
-9.34,-3.14,0.04,-4.36,-19,26.02,-0.48,-0.14,0,1006.99,35.7,52.25,null,null,0:0:0
-9.38,-2.39,0.43,-5,-18.09,26.02,-0.08,-0.02,-0.03,1006.96,35.7,52.5,null,null,0:0:0
-9.3,-3.18,-0.35,-5.73,-7.73,26.84,1.41,0.51,-0.11,1006.96,35.7,52.5,null,null,0:0:0
-9.53,-3.02,0.59,-3.73,-13.36,25.82,-0.7,-0.33,0.09,1007.02,35.7,52,null,null,0:0:0
-9.41,-2.51,-0.2,-3.82,-13.09,25.51,-0.33,-0.18,0.06,1007.02,35.7,52,null,null,0:0:0
-9.06,-3.41,-0.55,-4.36,-11.18,25.61,0.25,0.06,-0.03,1007.01,35.8,52.08,null,null,0:0:0
-9.26,-2.55,-0.2,-4,-12.73,25.71,-0.2,-0.11,0.02,1007.02,35.7,52,null,null,0:0:0
-9.1,-3.73,-0.78,-4.27,-11.36,25.71,0.54,0.14,-0.07,1007.02,35.7,52,null,null,0:0:0
-9.1,-2.79,-0.39,-3.27,-15,25.41,0.73,0.25,-0.1,1007.04,35.7,51.83,null,null,0:0:0
-9.38,-3.57,-0.59,-3.09,-15.82,25.41,-0.53,-0.04,-0.17,1007.03,35.7,51.92,null,null,0:0:0
-9.45,-2.08,0.35,-3.27,-16.73,25.71,-0.56,-0.24,0.12,1007.01,35.8,52.08,null,null,0:0:0
-8.87,-3.88,-1.1,-4.64,-12.27,25.82,0.01,0.03,-0.08,1007.05,35.8,51.75,null,null,0:0:0
-8.94,-2.2,0.51,-3.55,-15.09,25.31,0.01,-0.05,-0.06,1007.04,35.8,51.83,null,null,0:0:0
-9.38,-2.67,0.35,-1.82,-21.36,25.61,0.12,-0.15,0.21,1007.04,35.8,51.83,null,null,0:0:0
-9.49,-2.35,0.08,-4.73,-12.27,25.92,0.89,0.08,0.04,1007,35.8,52.17,null,null,0:0:0
-9.34,-3.14,-0.39,-1.91,-21.09,25.61,-0.85,-0.3,0.07,1006.98,35.8,52.34,null,null,0:0:0
-8.98,-3.57,-0.39,-3.36,-24.45,0.31,0.73,0.1,0.01,1006.97,35.8,52.42,null,null,0:0:0
-9.38,-2.2,0.55,-3.82,-19.45,25.31,0.64,0.08,-0.08,1006.97,35.8,52.42,null,null,0:0:0
-9.18,-2.43,0,-3.45,-19.73,25.51,-0.14,-0.1,0.06,1007.03,35.8,51.92,null,null,0:0:0
-9.22,-3.22,-0.24,-3.45,-19.73,25.61,-0.12,0,-0.07,1007.06,35.8,51.66,null,null,0:0:0
-9.34,-2.24,0.2,-5.36,-13.45,26.12,-0.26,-0.12,0.03,1007.01,35.8,52.08,null,null,0:0:0
-9.38,-2.86,-0.04,-4.18,-16,25.51,-0.01,-0.09,0.06,1007.03,35.8,51.92,null,null,0:0:0
-9.41,-2.71,-0.24,-4.27,-15.82,25.71,0.12,0,-0.03,1007.03,35.9,51.92,null,null,0:0:0
-9.3,-3.26,-0.39,-5,-13,25.82,0.57,0.18,-0.1,1007.06,35.9,51.66,null,null,0:0:0
-9.57,-2.55,0.08,-4.82,-13.91,25.82,-0.44,-0.19,0.04,1007,35.9,52.17,null,null,0:0:0
-9.18,-3.33,-0.51,-4.91,-13.82,25.82,0.07,-0.03,0.02,1006.96,35.9,52.5,null,null,0:0:0
-9.41,-2.75,-0.08,-4.55,-14.27,25.51,-0.22,-0.08,-0.04,1006.95,35.9,52.59,null,null,0:0:0
-9.14,-3.3,-0.39,-4.55,-14.55,25.71,-0.23,-0.06,-0.04,1007.01,35.9,52.08,null,null,0:0:0
-9.34,-2.47,0.08,-4.73,-14.27,25.61,0.03,-0.04,0.03,1006.96,35.9,52.5,null,null,0:0:0
-9.34,-3.06,-0.31,-5,-13.64,25.71,-0.15,-0.11,0.04,1006.97,35.9,52.42,null,null,0:0:0
-9.41,-2.51,0,-4.73,-13.82,25.82,-0.32,-0.15,0.07,1007.01,35.9,52.08,null,null,0:0:0
-9.3,-3.26,-0.59,-4.27,-14.73,26.02,-0.06,-0.1,0.04,1007.03,35.9,51.92,null,null,0:0:0
-9.3,-2.9,-0.12,-4.82,-13.45,25.82,0.31,0.06,-0.04,1006.98,35.9,52.34,null,null,0:0:0
-9.45,-2.43,0.35,-4.91,-13.18,25.71,-0.1,-0.16,0.12,1007.02,35.9,52,null,null,0:0:0
-9.1,-3.06,-0.2,-4.73,-13.45,25.82,-0.14,-0.03,-0.08,1007.01,35.9,52.08,null,null,0:0:0
-9.41,-1.88,0.27,-4.36,-13.91,26.12,-0.19,-0.16,0.12,1006.97,35.9,52.42,null,null,0:0:0
-9.06,-2.71,0.04,-4.73,-12.36,26.02,-0.56,-0.14,-0.04,1007.02,35.9,52,null,null,0:0:0
-9.22,-2.98,-0.16,-4.36,-13.55,26.02,0.36,0.03,0.11,1007.02,35.9,52,null,null,0:0:0
-9.3,-2.79,-0.16,-4.73,-12,26.02,-0.11,-0.1,-0.02,1007.07,35.9,51.58,null,null,0:0:0
-9.22,-3.26,-0.43,-4.45,-12.55,25.71,-0.26,-0.09,-0.04,1007.07,35.9,51.58,null,null,0:0:0
-9.22,-3.14,0,-3.55,-15.18,25.82,0.13,-0.02,0.03,1007.08,35.9,51.5,null,null,0:0:0
-9.34,-2.59,-0.16,-5.09,-12.09,26.02,0.06,0.02,-0.05,1007.06,35.9,51.66,null,null,0:0:0
-9.26,-3.18,-0.12,-4.73,-13.64,25.71,-0.08,-0.05,-0.01,1007.06,35.9,51.66,null,null,0:0:0
-9.22,-2.63,-0.08,-4.45,-14.73,25.61,0.36,0.07,-0.02,1007.06,35.9,51.66,null,null,0:0:0
-9.26,-2.51,0,-5.55,-11.36,26.02,-0.15,-0.09,0.01,1007.14,35.9,51,null,null,0:0:0
-9.14,-2.71,-0.12,-4.36,-14.73,25.41,-0.11,-0.07,0.04,1007.05,35.9,51.75,null,null,0:0:0
-9.3,-2.94,-0.24,-5.82,-11.45,26.22,0.02,-0.03,0,1007.03,35.9,51.92,null,null,0:0:0
-9.14,-2.75,0,-4.55,-14.55,25.61,-0.07,-0.04,0,1007.06,35.9,51.66,null,null,0:0:0
-9.3,-2.9,-0.39,-5.55,-11.55,26.02,0.1,-0.01,0.01,1007.05,35.9,51.75,null,null,0:0:0
-9.41,-2.63,-0.27,-4.36,-14.09,25.71,-0.19,-0.09,-0.03,1007.1,35.9,51.33,null,null,0:0:0
-9.22,-3.02,-0.39,-4.73,-12.36,25.61,-0.09,-0.11,0.02,1007.1,35.9,51.33,null,null,0:0:0
-9.14,-3.14,-0.39,-4.91,-12.73,25.92,0.18,-0.03,0.05,1007.04,35.9,51.83,null,null,0:0:0
-9.41,-2.98,-0.12,-4.91,-12.45,25.92,-0.2,-0.07,0,1007.06,35.9,51.66,null,null,0:0:0
-9.41,-2.82,-0.43,-4.55,-13.73,25.71,-0.06,-0.13,0.11,1007.08,35.9,51.5,null,null,0:0:0
-9.06,-3.41,-0.55,-4.73,-12.91,25.82,0,-0.06,0.02,1007.06,35.9,51.66,null,null,0:0:0
-9.49,-2.47,-0.16,-5.09,-11.73,25.92,0.32,-0.02,0.09,1007.07,35.9,51.58,null,null,0:0:0
-8.98,-3.02,0.08,-4.45,-13.82,25.51,-0.54,-0.14,-0.06,1007.07,35.9,51.58,null,null,0:0:0
-9.34,-2.71,-0.27,-5.55,-11.36,25.82,0.46,0.18,-0.06,1007.04,35.9,51.83,null,null,0:0:0
-9.14,-3.33,-0.27,-4.45,-14.64,25.51,-0.36,-0.04,-0.11,1007.09,36,51.41,null,null,0:0:0
-9.26,-3.22,-0.51,-3.64,-15.73,25.51,-0.1,0.02,-0.08,1007.03,36,51.92,null,null,0:0:0
-9.14,-3.1,-0.35,-5.45,-10.09,26.02,0.3,0.11,-0.07,1006.98,36,52.34,null,null,0:0:0
-9.26,-2.71,-0.12,-4.36,-14.55,25.41,-0.3,-0.09,0,1007.02,36,52,null,null,0:0:0
-9.22,-3.18,-0.43,-5.36,-11.09,26.22,0.11,0.02,-0.01,1007.08,36,51.5,null,null,0:0:0
-9.26,-3.06,-0.39,-4.73,-13.18,25.71,-0.32,-0.12,-0.01,1007.05,36,51.75,null,null,0:0:0
-9.22,-3.1,-0.39,-4.82,-12.09,25.61,0.2,0.02,0,1007.06,36,51.66,null,null,0:0:0
-9.22,-3.06,-0.43,-4.82,-12.64,25.71,-0.2,-0.09,-0.02,1007.04,36,51.83,null,null,0:0:0
-9.26,-2.67,-0.71,-4.91,-12.45,25.92,0.25,0.04,0,1007.05,36,51.75,null,null,0:0:0
-8.94,-2.79,-0.51,-5.36,-10.18,26.12,-0.04,-0.15,0.02,1007.08,36,51.5,null,null,0:0:0
-9.3,-2.98,-0.47,-5,-10.64,25.92,-0.13,-0.11,0.04,1007.01,36,52.08,null,null,0:0:0
-8.63,-4.04,-0.47,-4.64,-11.27,25.92,0.59,0.25,-0.21,1007.1,36.1,51.33,null,null,0:0:0
-9.57,-1.61,0.24,-4.73,-10.09,25.92,-0.36,-0.22,0.14,1007.04,36.1,51.83,null,null,0:0:0
-8.59,-3.65,-0.9,-4,-11.09,25.82,0.02,-0.01,-0.05,1007.04,36.1,51.83,null,null,0:0:0
-9.49,-1.92,0.08,-4.55,-9.82,26.02,0.07,-0.04,0.06,1007.03,36.1,51.92,null,null,0:0:0
-9.22,-3.22,-0.55,-4.36,-10.36,26.02,-0.06,-0.06,0.06,1007.01,36,52.08,null,null,0:0:0
-9.14,-3.26,-0.63,-4.36,-10.73,26.02,0.24,-0.07,0.09,1007,36,52.17,null,null,0:0:0
-9.1,-3.26,-0.71,-4.82,-9.82,26.12,0.12,0.04,-0.08,1007.06,36,51.66,null,null,0:0:0
-9.3,-3.02,-0.75,-4.82,-10.45,25.82,-0.02,-0.08,0.04,1007,36,52.17,null,null,0:0:0
-9.65,-2.55,0.12,-5.36,-7.91,26.12,0.26,0.02,0.07,1007.07,36,51.58,null,null,0:0:0
-9.14,-3.02,-0.51,-4.64,-9.36,26.02,0.58,0.13,0.01,1007.13,36,51.08,null,null,0:0:0
-9.14,-2.9,-0.59,-4.64,-9.55,25.71,-0.35,-0.16,0.04,1007.08,36,51.5,null,null,0:0:0
-9.3,-2.82,-0.51,-2.55,-15.27,24.8,-1.07,-0.25,-0.14,1007.03,36,51.92,null,null,0:0:0
-9.18,-2.63,-0.43,-3.45,-12.64,25.51,-0.46,-0.23,0.09,1007.05,36,51.75,null,null,0:0:0
-9.18,-3.41,-1.06,-4.91,-7.91,26.22,0.33,0.12,-0.1,1006.99,36,52.25,null,null,0:0:0
-9.3,-2.75,-0.43,-4.64,-9.55,25.71,-0.14,-0.1,0.02,1006.98,35.9,52.34,null,null,0:0:0
-9.06,-3.45,-0.9,-4.82,-9.36,25.82,0.22,0.02,0.01,1007.05,35.9,51.75,null,null,0:0:0
-9.14,-3.3,-0.59,-4.36,-10.18,25.82,0.16,-0.01,0.04,1007.06,35.9,51.66,null,null,0:0:0
-9.18,-3.22,-0.59,-4.09,-9.91,25.82,0.07,0.01,-0.01,1007.06,35.9,51.66,null,null,0:0:0
-9.18,-3.3,-0.75,-5,-9.18,25.71,0.11,0.01,-0.02,1007.13,35.9,51.08,null,null,0:0:0
-9.18,-2.94,-0.43,-4.55,-9.27,25.82,-0.04,-0.04,0,1007.04,35.9,51.83,null,null,0:0:0
-9.3,-3.18,-0.86,-4.55,-9.45,25.71,0.04,-0.03,0.01,1007.06,35.9,51.66,null,null,0:0:0
-9.18,-3.18,-0.78,-4.45,-9.91,25.82,0.24,0.03,-0.02,1007.07,35.9,51.58,null,null,0:0:0
-9.22,-2.79,-0.71,-2.27,-16.36,25,0,-0.07,0.04,1007.12,35.9,51.16,null,null,0:0:0
-9.14,-3.3,-0.59,-4.45,-9.27,26.12,-0.06,-0.05,-0.01,1007.08,35.8,51.5,null,null,0:0:0
-9.18,-3.22,-0.63,-4.55,-9,26.02,-0.02,-0.04,0,1007.06,35.9,51.66,null,null,0:0:0
-9.26,-3.02,-0.51,-4.82,-9.18,26.02,0.02,-0.03,-0.01,1007.08,35.8,51.5,null,null,0:0:0
-9.3,-3.33,-0.71,-4.27,-10.64,26.12,0.27,0.07,-0.05,1007.01,35.7,52.08,null,null,0:0:0
-9.26,-3.1,-0.39,-3.45,-13.27,25.51,0.34,0.11,-0.03,1007.07,35.7,51.58,null,null,0:0:0
-9.26,-3.02,-0.86,-3.91,-11.09,25.71,-0.23,-0.11,-0.03,1007.07,35.7,51.58,null,null,0:0:0
-9.22,-3.14,-0.51,-5,-8.55,26.22,0.79,0.23,-0.08,1007.04,35.7,51.83,null,null,0:0:0
-9.1,-3.37,-0.82,-4.36,-10.64,25.92,-0.21,-0.05,-0.04,1007.03,35.7,51.92,null,null,0:0:0
-9.18,-3.14,-0.67,-4.45,-9.64,25.82,-0.03,-0.05,0,1007,35.7,52.17,null,null,0:0:0
-9.18,-3.22,-0.75,-4.73,-9.82,26.02,-0.05,-0.07,0.03,1007.06,35.7,51.66,null,null,0:0:0
-9.26,-3.3,-0.67,-4.91,-9,26.12,-0.01,-0.02,0.01,1006.98,35.7,52.34,null,null,0:0:0
-9.22,-3.18,-0.75,-4.45,-10.27,26.02,-0.23,-0.16,0.05,1007.04,35.7,51.83,null,null,0:0:0
-9.18,-3.41,-0.86,-4.45,-9,26.33,-0.15,-0.07,-0.01,1007.05,35.7,51.75,null,null,0:0:0
-9.22,-3.26,-0.82,-4.27,-9.91,25.92,0.24,0.05,-0.02,1007.03,35.7,51.92,null,null,0:0:0
-9.22,-3.49,-0.9,-4.45,-9.82,25.92,-0.34,-0.17,0.07,1006.98,35.6,52.34,null,null,0:0:0
-9.06,-3.49,-0.94,-4.82,-8.64,26.22,0.26,0.05,-0.03,1007.01,35.7,52.08,null,null,0:0:0
-9.41,-2.55,-0.27,-4.45,-10.73,25.71,-0.67,-0.44,0.15,1007.08,35.6,51.5,null,null,0:0:0
-7.85,-4.43,-0.12,-5.73,-8.36,26.53,0.44,0.25,-0.26,1007.07,35.6,51.58,null,null,0:0:0
-8.67,-2.86,-0.24,-4.91,-9.27,26.43,-0.12,-0.23,0.23,1007,35.6,52.17,null,null,0:0:0
-8.98,-4.55,-0.86,-5,-10.09,25.71,0.13,0.06,-0.16,1007.03,35.6,51.92,null,null,0:0:0
-8.9,-3.96,-0.9,-4.91,-10,25.71,0.1,-0.03,0.01,1007.05,35.6,51.75,null,null,0:0:0
-8.9,-3.77,-0.43,-4.64,-10.18,26.02,-0.17,-0.07,-0.02,1007.03,35.6,51.92,null,null,0:0:0
-8.55,-4.04,-0.82,-4.45,-10.36,25.61,-0.14,-0.03,-0.18,1007.04,35.6,51.83,null,null,0:0:0
-8.9,-4.04,-1.22,-4.73,-9.82,25.82,0.53,0.11,0.02,1007.08,35.6,51.5,null,null,0:0:0
-8.75,-3.53,-0.31,-4.73,-10.55,25.71,-0.2,-0.03,-0.13,1007.06,35.6,51.66,null,null,0:0:0
-8.39,-4.67,-2,-7.36,2.27,30.1,-0.1,-0.09,-0.02,1007.04,35.6,51.83,null,null,0:0:0
-8.12,-4.71,-2.31,-8,4.09,30.82,0.31,0.07,0.05,1007.06,35.6,51.66,null,null,0:0:0
-8.08,-4.75,-2.08,-7.64,3,30.51,-0.18,-0.09,-0.01,1007.1,35.6,51.33,null,null,0:0:0
-8.36,-4.63,-2.12,-7.91,3.73,30.51,0.17,0,0.02,1007.08,35.6,51.5,null,null,0:0:0
-8.43,-4.67,-2.28,-8.09,4,31.02,0.11,-0.01,0.02,1007.07,35.6,51.58,null,null,0:0:0
-8.51,-4.35,-2.51,-7.82,3.45,31.02,0.1,0.01,0.02,1007.05,35.6,51.75,null,null,0:0:0
-8.28,-4.86,-1.57,-5.55,-1.09,28.16,-0.59,-0.28,-0.03,1007.08,35.6,51.5,null,null,0:0:0
-7.73,-5.69,-2.98,-7.09,1.91,29.69,0.58,0.14,0.05,1007.01,35.6,52.08,null,null,0:0:0
-8.32,-4.51,-2.28,-7.73,3.18,30.41,-0.47,-0.17,-0.06,1007.07,35.6,51.58,null,null,0:0:0
-8.36,-4.63,-2.12,-7.18,2.55,30.1,0.29,0.05,0.04,1007.07,35.6,51.58,null,null,0:0:0
-8.32,-4.67,-2.31,-7.45,3.18,30.41,-0.2,-0.09,-0.02,1007.05,35.6,51.75,null,null,0:0:0
-8.36,-4.67,-2.16,-6.91,2,30,0.04,-0.02,0.01,1007.04,35.6,51.83,null,null,0:0:0
-8.39,-4.59,-2.2,-7.64,3.09,30.51,0,-0.03,0,1007.04,35.6,51.83,null,null,0:0:0
-8.39,-4.55,-2.16,-6.91,2.36,30.1,-0.08,-0.06,-0.01,1007.03,35.6,51.92,null,null,0:0:0
-8.32,-4.63,-2.24,-7.64,3.09,30.31,0.13,0,0.02,1007.04,35.6,51.83,null,null,0:0:0
-8.32,-4.71,-2.24,-7.45,2.45,29.8,-0.09,-0.07,-0.01,1007.04,35.6,51.83,null,null,0:0:0
-8.36,-4.71,-2.31,-7.27,2.73,30.31,0.12,0,0.02,1007.08,35.6,51.5,null,null,0:0:0
-8.36,-4.59,-2.2,-7.27,2.91,30.2,-0.11,-0.07,-0.01,1007.05,35.6,51.75,null,null,0:0:0
-8.36,-4.59,-2.2,-7.36,2.82,30.1,0.1,-0.01,0.02,1007.07,35.6,51.58,null,null,0:0:0
-8.16,-4.71,-2.2,-7.18,2.82,30.1,-0.07,-0.06,0,1007.09,35.6,51.41,null,null,0:0:0
-8.24,-4.71,-2.28,-7.18,2.73,30,0.03,-0.03,0.01,1007.11,35.6,51.25,null,null,0:0:0
-8.32,-4.63,-2.39,-7.36,2.82,30.2,-0.05,-0.05,-0.01,1007.05,35.6,51.75,null,null,0:0:0
